ID,日本語名,英語名,タイプ,国,4軸,次数,接続先（上位5）,定義（100字）,追加接続先（手動入力）
SCS-0163,社会誠信,Social Sincerity (Shehui Chengxin),policy,CN,ガバナンス,8,社会信用体系建設規画綱要（2014-2020年）; SCSの4つの目標; 誠信の4領域; 誠信文化; 四大誠信建設,SCSの4大領域の一つ。医療衛生・社会保障・労働用工・教育科研・文化体育旅行・知的財産権・環境保護・インターネット等の分野における個人・組織の信用構築。,
SCS-0205,国家公共信用情報センター,National Public Credit Information Center,actor,CN,"データフロー, ガバナンス",8,信用中国ウェブサイト; 全国信用情報共有プラットフォーム; 公共信用情報; 信用中国プラットフォーム; 信用中国,2017年に設立された国家レベルの公共信用情報管理機関。信用中国プラットフォームの運営母体として、全国の信用情報統合を推進。,
SCS-0445,四大誠信建設,Four Pillars of Credit Construction,theory,CN,ガバナンス,8,司法公信; 商務誠信; 社会誠信建設; 政務誠信; 社会信用システム,社会信用体系の4つの柱：政務誠信（政府の信用）、商務誠信（ビジネスの信用）、社会誠信（社会の信用）、司法公信（司法の信頼性）。,
SCS-0008,失信被執行人リスト,List of Discredited Debtors,phenomenon,CN,"インセンティブ設計, ガバナンス",7,裁判所-芝麻信用ブラックリスト連携; 法院・プラットフォーム連携債務執行; 寸歩難行原則; 信用システムにおける忘れられる権利; 失信企業認定基準,裁判所の判決を履行する能力があるにもかかわらず履行を拒否する債務者のリスト。2013年に最高人民法院が導入,
SCS-0011,信用中国,Credit China,data_system,CN,"データフロー, ガバナンス",7,分散型信用情報システム; 百行征信; 全国信用情報共有プラットフォーム; 反社データベース; 征信機関との情報共有,全国統一の社会信用情報共有・公開プラットフォーム。中央政府44機関と全ての省を連結,
SCS-0033,4領域評価,Four Areas of Social Credit Scoring,theory,CN,"ガバナンス, インセンティブ設計",7,CSCS5カテゴリ評価指標; SCS-0633; SCSの4つの目標; CSRと社会信用の統合; 社会誠信建設,SCSが評価対象とする4つの領域：政府事務、司法事務、社会活動、商業行動,
SCS-0061,信用基礎インフラ建設,Credit Infrastructure Construction,mechanism,CN,"データフロー, ガバナンス",7,信用情報インフラ; 社会信用体系建設規画綱要（2014-2020年）; 中小零細企業信用体系建設プロジェクト; 全国信用情報共有プラットフォーム; 社会信用システム,社会信用体系の基盤となるインフラ整備。信用情報の帰集共有、信用分級分類監管、データ要素価値発揮などを含む。,
SCS-0071,信用中国ウェブサイト,Credit China Website,data_system,CN,"データフロー, ガバナンス",7,百行征信; 全国信用情報共有プラットフォーム; 信用修復; 公共信用情報; 公共信用,全国統一の公共信用情報公示・共有プラットフォーム。各種公共信用情報を集中公示し、信用修復申請の受付窓口となる。,
SCS-0085,市場信用情報,Market Credit Information (MCI),data_system,CN,"データフロー, 官民関係",7,12315消費者苦情ホットライン; 全国信用情報共有プラットフォーム; 公共信用情報; 公的信用情報vs市場信用情報; 公共信用,民間市場で生成される企業のコンプライアンス・取引データ。公共信用情報を補完。,
SCS-0162,商務誠信,Commercial Sincerity (Shangwu Chengxin),policy,CN,"インセンティブ設計, ガバナンス",7,社会信用体系建設規画綱要（2014-2020年）; SCSの4つの目標; 誠信の4領域; 誠信文化; 四大誠信建設,SCSの4大領域の一つ。生産・流通・金融・税務・価格設定・工程建設・政府調達・入札・交通・Eコマース・統計・中介サービス・会展広告・企業管理等の分野における信用構築。,
SCS-0200,信用中国プラットフォーム,Credit China Platform,data_system,CN,データフロー,7,百行征信; 全国信用情報共有プラットフォーム; レッドリスト（優良企業リスト）; 征信機関との情報共有; レッドリスト,2015年設立の全国信用情報共有・公開プラットフォーム。政府各部門の信用情報を統合し、ブラックリスト・レッドリストを公開。,
SCS-0202,誠信の4領域,Four Domains of Integrity,theory,CN,ガバナンス,7,司法公信; 商務誠信; 社会信用体系建設計画綱要（2014-2020）; SCSの4つの目標; 政務誠信,SCSが対象とする4つの領域：(1)政務誠信（政府）、(2)商務誠信（商業）、(3)社会誠信（社会）、(4)司法公信（司法）。Planning Outline 2014-2020で定義。,
SCS-0234,SCSの4つの目標,Four Goals of SCS,policy,CN,"インセンティブ設計, ガバナンス",7,司法公信; 商務誠信; 百行征信; SCSの3大機能; 4領域評価,SCSの4目標：金融信用（征信）、司法執行（司法公信）、商業信頼性（商務誠信）、社会的信頼性（社会誠信）。,
SCS-0437,失信被執行人,Dishonest Person Subject to Enforcement,mechanism,CN,"インセンティブ設計, ガバナンス",7,裁判所-芝麻信用ブラックリスト連携; 法院・プラットフォーム連携債務執行; 寸歩難行原則; 信用システムにおける忘れられる権利; 失信企業認定基準,裁判で確定した義務を履行しない者を指す法的カテゴリ。最高人民法院がリストを公開。6項目の条件（履行能力があるのに義務不履行、執行妨害、財産隠匿等）に該当する場合に認定される。,
SCS-0448,社会誠信建設,Social Credit Construction,mechanism,CN,"データフロー, ガバナンス",7,社会信用体系建設規画綱要（2014-2020年）; 4領域評価; CSRと社会信用の統合; 社会信用体系原理（2002年）; 四大誠信建設,医療、社会保障、労働、教育、環境保護など社会各領域における信用構築。個人の信用記録の整備と社会組織の信用管理を含む。,
SCS-0452,信用情報共有プラットフォーム,Credit Information Sharing Platform,data_system,CN,データフロー,7,SCS-0055; 信用情報サイロ解消; 信用情報インフラ; 全国信用情報共有プラットフォーム; NCISP データアーキテクチャ,各地域・各部門の信用情報を統合し、社会全体でのアクセスを可能にする情報基盤。行政、金融、企業などの信用情報の相互接続を実現。,
SCS-0524,日本三信用情報機関体制,Japan Three Credit Bureaus System,mechanism,JP,"データフロー, 官民関係",7,分散型信用情報システム; SCS-0146; 全国信用情報共有プラットフォーム; SCS-0523; 全国銀行個人信用情報センター,日本の個人信用情報機関は3機関体制：JICC（貸金業中心）、CIC（クレジット業中心）、KSC（銀行中心）。各機関が保有情報を相互共有するCRIN（Credit Information Network,
SCS-0587,デジタル社会形成基本法,Basic Act on Formation of Digital Society (Japan),policy,JP,"官民関係, ガバナンス",7,デジタルデバイド是正; 個人及び法人の権利利益の保護; 民間主導原則; 政策先導推進型; デジタル社会の実現に向けた重点計画（2025年）,令和3年（2021年）制定の日本の法律。デジタル社会の形成に関し、基本理念及び施策の策定に係る基本方針を定め、国・地方公共団体・事業者の責務を明らかにする。デジタル庁の設置根拠法でもある。中国のSCS,
SCS-0636,CSCSの行動変容ポテンシャル,Behavioral Modification Potential of CSCS,phenomenon,CN,"インセンティブ設計, ガバナンス",7,SCS-0207; コンプライアンスプログラムとしてのCSCS; 政策誘導ツール; 企業社会信用システム; CSCSの二本柱,報酬と罰則で構造化されたCSCSが、企業を中国共産党が好む政策の採用へとナッジする強力な行動変容能力を持つという知見。,
SCS-0075,征信機関との情報共有,Credit Information Sharing with Credit Bureaus,mechanism,CN,"データフロー, 官民関係, ガバナンス",6,百行征信; 信用中国ウェブサイト; 信用修復; 信用中国プラットフォーム; 信用中国,信用中国と征信機関間で信用修復結果を共有し、修復済み情報を同期更新するメカニズム。,
SCS-0113,社会信用データ技術標準,Technical Standards for Social Credit Data,data_system,CN,"データフロー, ガバナンス",6,SCS-0453; 統一社会信用コードによる索引; 中国人民銀行; CSCS基盤の金融信用評価; TA-Swiss社会信用研究プロジェクト,社会信用データの保存・構造・転送に関する基本技術標準。国家発改委・人民銀行・国家標準化機関の協力で策定中。,
SCS-0149,暴力団排除条項,Organized Crime Exclusion Clause,mechanism,JP,"ガバナンス, インセンティブ設計",6,金融庁反社会的勢力排除政策（2013年）; ブラックリスト制度; 反社三段階管理（入口・中間・出口）; 連合懲戒; ブラックリスト,金融機関が契約時に暴力団等の反社会的勢力を排除するための条項。提携ローン（四者型）を含め導入が徹底されている。違反時は契約解除・取引拒否の根拠となる。中国SCSの連合懲戒に類似する機能を持つが、適用範,
SCS-0153,分散型信用情報システム,Fragmented Credit Information System (Japan),data_system,JP,"データフロー, ガバナンス",6,民間主導型信用システム; 全国信用情報共有プラットフォーム; 信用中国; 個人信用情報機関; 日本三信用情報機関体制,日本の個人信用情報が3機関（JICC、CIC、KSC）に分散して管理される体制。中国の「信用中国」のような全国統一プラットフォームが存在せず、各機関が独立して情報を保有。複数機関から情報収集する企業も,
SCS-0167,ブラックリスト制度,Blacklist System (Heimingdan Zhidu),mechanism,CN,"データフロー, インセンティブ設計",6,ネット信用ブラックリスト制度; 暴力団排除条項; 税務信用建設; 失信懲戒機構; ブラックリスト,重大な信用違反者を公開リストに登載し、多領域での制限を課す制度。各部門・業界でブラックリストと市場退出メカニズムを構築することが求められる。,
SCS-0233,誠信,Chengxin,theory,CN,インセンティブ設計,6,商務誠信; 守信奨励・失信懲戒; 政務誠信; 誠信文化; 社会誠信,信頼性、誠実さ、誠意、道徳性を意味する中国語。SCSの根底にある価値概念で、金融信用を超えた広い信頼の概念。,
SCS-0341,コンプライアンスプログラムとしてのCSCS,CSCS as Compliance Program,mechanism,CN,"インセンティブ設計, ガバナンス",6,CSCS完全実装の3要件; 社会信用体系建設計画綱要（2014-2020）; CSCSの行動変容ポテンシャル; 企業社会信用システム; CSCSの二本柱,党・国家がコンプライアンス基準を精緻化し、政府機関間の共同執行スキームを確立して非コンプライアンスコストを引き上げる。,
SCS-0508,GDPR第22条（自動化された意思決定）,GDPR Article 22 (Automated Decision-Making),policy,EU,ガバナンス,6,EU一般データ保護規則; GDPRにおけるプロファイリング; 本人開示制度（日本）; 自動化された意思決定における人間介入権; 信用情報開示請求権,データ主体は、プロファイリングを含む自動化された処理のみに基づいて法的効果または同様に重大な影響を及ぼす意思決定の対象とならない権利を有する。人間の介入、意見表明、説明を受ける権利、異議申立権等のセー,
SCS-0539,守信奨励・失信懲戒,Encouraging Trustworthiness and Punishing Untrustworthiness,mechanism,CN,"インセンティブ設計, ガバナンス",6,失信懲戒; 信頼構築ツールとしてのSCS; 政務誠信; 信用（信頼性）; 市場信頼性,中国SCSの核心原則。信用記録を当局・企業が幅広い目的で利用し、信頼できる行為を奨励し、不誠実な行為を罰する仕組み。金融分野の信用スコアリングと異なり、法規範・道徳規範・職業倫理基準の遵守全般を対象と,
SCS-0579,FICOスコア（米国信用スコア）,FICO Score (US Credit Scoring),data_system,US,"データフロー, インセンティブ設計",6,FICOスコアの世界的影響; FICOスコアXD; 芝麻信用; 全国信用情報共有プラットフォーム; 芝麻信用スコアとFICOスコアの比較,米国で広く普及している信用スコア。営利企業である信用情報機関がクレジット・ヒストリー（与信サービスの取引履歴）をもとに算出。芝麻信用と異なり主に金融取引履歴に基づく。日本では同様のスコアが普及してこな,
SCS-0638,社会的責任カテゴリー（CSCS）,Social Responsibility Category (CSCS),mechanism,CN,"インセンティブ設計, 官民関係",6,国家中心型CSR; CSRと社会信用の統合; CSCSの行動変容ポテンシャル; 企業社会信用システム; SCS-0634,浙江省CSCSの5カテゴリー中、企業間でスコア変動が最も大きいカテゴリー（平均38.3%）。政府機関からの表彰、党・国家公認の慈善寄付、ボランティア活動を評価。スコア向上の最大のレバレッジポイント。,
SCS-0025,国家発展改革委員会,National Development and Reform Commission (NDRC),actor,CN,"ガバナンス, 官民関係",5,信用修復メカニズム; 公共信用; 中国人民銀行; 部際連席会議; 2016年連合インセンティブ覚書,公共信用システムの調整機関。中国人民銀行とともにパイロットプログラムを推進,
SCS-0029,3フェーズモデル,Three-Phase Framework,theory,CN,データフロー,5,データ収集フェーズ; 社会信用システム; 2層構造; データ分析フェーズ; データ集約フェーズ,SCSをデータ収集・データ集約・データ分析の3つのフェーズで理解する分析枠組み,
SCS-0051,8社信用情報パイロット企業,Eight Pilot Credit Companies,actor,CN,"データフロー, 官民関係",5,百行征信; 芝麻信用; 全国信用情報共有プラットフォーム; 中国人民銀行; 個人信用情報,2015年に人民銀行から個人信用情報システム運営のパイロット許可を得た8社の民間企業。芝麻信用、騰訊征信、前海征信、考拉征信等を含む。単独ライセンス取得には至らず、百行征信の株主・貢献者となった。技術,
SCS-0065,日本信用情報機構（JICC）,JICC (Japan Credit Information Reference Center Corp.),actor,JP,"官民関係, データフロー, ガバナンス",5,民間主導型信用システム; 全国信用情報共有プラットフォーム; 個人信用情報機関; 個人信用情報; JICC信用情報登録期間,1986年設立の個人信用情報機関。貸金領域を主とし、消費者金融やクレジットカード会社が加盟。近年は不動産賃貸の家賃保証領域でも活用。株式会社テラネット、株式会社シーシービーとの合併を経て現在に至る。,
SCS-0084,公共信用情報,Public Credit Information (PCI),data_system,CN,"データフロー, ガバナンス",5,信用中国ウェブサイト; 市県一体化公共信用情報共有サービスプラットフォーム; 国家公共信用情報センター; 市場信用情報; 2300万人の移動禁止,政府機関が保有する企業に関する規制・行政記録情報。CSCSファイルの主要構成要素。,
SCS-0097,CSCS基盤の金融信用評価,CSCS-based Financial Credit Assessment,mechanism,CN,"インセンティブ設計, データフロー, 官民関係",5,社会信用体系建設計画綱要（2014-2020）; 社会信用システム; 企業社会信用システム; 社会信用データ技術標準; 市場信用,社会信用データを金融信用データの補完として融資・投資リスク評価に活用。規制コンプライアンス指標を財務指標と併せて考慮する多次元アプローチ。,
SCS-0147,全国銀行個人信用情報センター,KSC (Japanese Bankers Association Personal Credit Information Center),actor,JP,データフロー,5,民間主導型信用システム; 全国信用情報共有プラットフォーム; 個人信用情報機関; 日本三信用情報機関体制; 個人信用情報,全国銀行協会が運営する日本の個人信用情報機関。銀行・信用組合・信用金庫・農協等が加盟。メガバンクから地方銀行、ネット銀行まで参加するが、消費者金融やクレジットカード会社は非加盟。,
SCS-0164,司法公信,Judicial Sincerity (Sifa Gongxin),policy,CN,ガバナンス,5,社会信用体系建設規画綱要（2014-2020年）; SCSの4つの目標; 誠信の4領域; 四大誠信建設; 社会信用の4カテゴリ,SCSの4大領域の一つ。司法機関の信用構築であり、法治の権威と司法の公正を確保する。司法活動の透明性向上と判決執行の徹底を含む。,
SCS-0169,信用情報インフラ,Credit Information Infrastructure,data_system,CN,データフロー,5,信用基礎インフラ建設; 信用サービス市場; 全国信用情報共有プラットフォーム; 金融信用情報基礎データベース; 信用情報共有プラットフォーム,SCSの基盤となる信用記録と信用インフラのネットワーク。金融信用情報基礎データベース、信用情報共有プラットフォーム、信用サービス市場を含む。,
SCS-0170,金融信用建設,Financial Credit Construction,policy,CN,"インセンティブ設計, ガバナンス",5,信用基礎インフラ建設; 社会誠信建設; 電子商取引信用建設; 信用承諾制度; 市場信用,金融分野の信用構築。金融詐欺、悪意の債務不履行、インサイダー取引、虚偽情報開示、違法資金調達等の信用違反行為の処罰と金融秩序の規範化。,
SCS-0415,CSRと社会信用の統合,CSR Social Credit Integration,phenomenon,CN,"インセンティブ設計, ガバナンス",5,4領域評価; 社会誠信建設; 社会信用システム; 企業社会信用システム; 社会的責任カテゴリー（CSCS）,社会的責任とESG概念を企業社会信用システムに組み込む動き。7つの省すべてで社会的責任が格付けに考慮され、退役軍人雇用、障害者雇用、公益イベント開催などが評価対象となる。,
SCS-0423,公正信用報告法,Fair Credit Reporting Act (FCRA),policy,US,"データフロー, ガバナンス",5,消費者金融保護局; グラム・リーチ・ブライリー法; 不利益措置通知義務; 公正情報実務フレームワーク; FCRA以前の信用業界濫用,1970年制定の米国連邦法。信用報告機関（CRA）が収集する個人情報の正確性、公平性、プライバシーを促進。民間企業による個人情報利用を規制した初の連邦法。,
SCS-0457,金融信用情報基礎データベース,Financial Credit Information Infrastructure Database,data_system,CN,データフロー,5,人民銀行信用調査管理局; 信用情報インフラ; 全国信用情報共有プラットフォーム; データ駆動型金融（中国モデル）; 中国人民銀行,中国人民銀行が運営する金融分野の信用情報基盤。銀行・証券・保険・外為など金融管理部門間の信用情報連携を実現。,
SCS-0499,中国SCS2022年中央集権化,Chinese SCS 2022 Centralization,phenomenon,CN,ガバナンス,5,社会信用体系建設規画綱要（2014-2020年）; 省級社会信用条例; 社会信用システム; 企業社会信用システム; 社会信用法草案（2020年）,2022年を転換期として、中国の社会信用システムが地方実験から中央政府主導の制度へ変化。50本以上の法律に社会信用関連規定が盛り込まれ、全国レベルの法規に組み込まれた。,
SCS-0521,コミュニティ管理グリッドシステム,Grid System of Community Control,mechanism,CN,"データフロー, ガバナンス",5,国家監視インフラ; 習近平時代のガバナンス再編; 社会信用システム; アルゴリズムガバナンス; 社会量化インフラ,中国で導入されたIT基盤の社会ガバナンス・監視ツール。コミュニティを格子状に区分し、管理・監視を体系化。社会信用システムと連動し、個人・企業の行動データを収集・分析。集権的統治の技術的実装。,
SCS-0551,反社データベース,Anti-Organized Crime Database,data_system,JP,"データフロー, 官民関係",5,反社会的勢力スクリーニング; 信用中国; 反社データベース接続; ブラックリスト; 暴力団情報データベース接続,金融機関・業界団体が構築する反社会的勢力情報のデータベース。グループ内・業界団体間での共有を推進。警察庁保有の暴力団情報とのオンライン接続システム構築も検討。情報漏洩防止が課題。中国信用中国の公開ブラ,
SCS-0559,個人信用スコアとその規範（大屋2023）,Individual Credit Score and Its Norms (Ohya 2023),theory,JP,"インセンティブ設計, ガバナンス",5,自律的取組みvs立法的アプローチ; 芝麻信用; 信用スコア規律論（林2022）; 日本における信用スコアサービスの失敗; 中小零細企業信用評価問題,大屋雄裕（慶應義塾大学）の2023年論文。中国芝麻信用の普及を受けた日本でのサービス展開の失敗を分析。適正運用には規範的原則への考慮が必要と指摘。パンデミック下でスコアリングが「個人の内在リスク判定」,
SCS-0586,本人開示制度（日本）,Credit Information Disclosure Right (Japan),mechanism,JP,ガバナンス,5,SCS-0583; 信用修復; 信用修復制度; GDPR第22条（自動化された意思決定）; 全国銀行個人情報保護指針,KSCに登録されている自己の情報を本人が開示請求できる制度。インターネット・郵送で申込可能。法定代理人・任意代理人による申込みも可能。登録情報開示報告書を本人限定受取郵便で送付。中国の信用修復制度、E,
SCS-0616,芝麻信用スコアとFICOスコアの比較,Sesame Credit Score vs FICO Score,theory,INTL,"データフロー, インセンティブ設計",5,FICOスコアの世界的影響; 芝麻信用; 芝麻信用個人スコア; FICOスコア（米国信用スコア）; 芝麻信用5要素,芝麻信用とFICOのスコアリング手法の比較分析。FICOは支払履歴(35%)、借入状況(30%)、履歴の長さ(15%)、利用経験(10%)、照会(5%)で構成。芝麻信用は与信履歴(35%)、オンライン,
SCS-0621,Trusted Web,Trusted Web,policy,JP,"データフロー, ガバナンス",5,国家監視インフラ; 検証可能なデータ管理; EU デジタルIDウォレット; 信頼性のある自由なデータ流通 (DFFT); Trusted Web4機能,2020年10月に内閣官房が発足させた推進協議会で検討される、デジタル社会の信頼基盤構想。巨大企業への依存でも監視社会でもない第三の道を模索。相手に開示するデータのコントロールを可能とし、Verify,
SCS-0004,2層構造,Two-Level Structure,theory,CN,"ガバナンス, データフロー",4,社会信用システム; 分類規制; 技術レベルvs規制レベル; 3フェーズモデル,SCSの構造を技術レベル（データ収集・分析・評価）と規制レベル（信用評価に基づく分類規制・報酬・罰則）に分解する分析枠組み,
SCS-0010,分類規制,Classified Regulation,mechanism,CN,"インセンティブ設計, ガバナンス",4,公共信用; 標的型規制資源配分; 無打擾監督; 2層構造,信用評価の結果に基づいて主体を異なるカテゴリに分類し、それぞれに異なる規制処遇を適用する仕組み,
SCS-0035,官民ネクサス,Corporate-State Nexus,theory,INTL,"データフロー, 官民関係",4,国家監視インフラ; データ監視; 国家・企業データ混合; 芝麻信用,ビッグデータ監視における国家と民間企業の境界の曖昧化。商業プラットフォームで収集されたデータが国家監視に利用される相互関係,
SCS-0070,信用修復制度,Credit Repair System,mechanism,CN,"インセンティブ設計, ガバナンス",4,信用修復; 信用情報開示請求権; 信用承諾書; 本人開示制度（日本）,失信情報の公示期間満了後、信用主体が法定責任義務を履行完了した証明資料と信用承諾書を提出することで、信用記録を回復させるメカニズム。,
SCS-0091,社会信用体系建設計画綱要（2014-2020）,Planning Outline 2014-2020,policy,CN,ガバナンス,4,CSCS基盤の金融信用評価; 誠信の4領域; CSCSの二本柱; コンプライアンスプログラムとしてのCSCS,2014年に発表されたCSCS正式開始の政策文書。CSCSの全国展開と目標を規定。,
